RUN                                       E               A               Error               I           Error               Efficiency                  Error
Run272_152Eu_SEG5414.amplitude1          344.28          22788          171.107            0.2657          0.0011            0.0004180257            0.00000911763119519171
Run272_152Eu_SEG5414.amplitude1          411.13          2207          88.674            0.02238          0.00010            0.0004806518            0.00002169059184556433
Run272_152Eu_SEG5414.amplitude1          443.97          3331          88.5149            0.03125          0.00014            0.0005195327            0.00001745201825276101
Run272_152Eu_SEG5414.amplitude1          778.9          12123          130.752            0.1297          0.0006            0.0004555735            0.00001058592682327039
Run272_152Eu_SEG5414.amplitude1          867.39          3944          88.1834            0.04214          0.00025            0.0004561742            0.00001396610640054244
Run272_152Eu_SEG5414.amplitude1          964.06          12585          121.795            0.1463          0.0006            0.0004192733            0.00000949343508506255
Run272_152Eu_SEG5414.amplitude1          1085.84          8269          101.135            0.1013          0.0005            0.0003978614            0.00000954998666657846
Run272_152Eu_SEG5414.amplitude1          1112.09          11314          116.545            0.1354          0.0006            0.0004072732            0.00000935801892075911
Run272_152Eu_SEG5414.amplitude1          1212.97          1058          47.6116            0.01412          0.00004            0.0003652071            0.00001802277280424808
Run272_152Eu_SEG5414.amplitude1          1299.15          1223          42.9502            0.01626          0.0003            0.0003666015            0.00001629601195676138
Run272_152Eu_SEG5414.amplitude1          1408.02          15161          124.755            0.2085          0.0009            0.0003544134            0.00000783367165149329
